FybrrLink Path BW,FybrrLink Path latency,FFybrrLink Path PLR,FybrrLink Hops Count,FybrrLink Execution Time,FybrrLink AVG CD,Plane Dijkstra Path BW,Plane Dijkstra Path latency,Plane Dijkstra Path PLR, Plane Dijkstra Hops Count, Plane Dijkstr Execution Time (in ms),Plane Dijkstra AVG CD,SDRA Path BW,SDRA latency,SDRA PLR,SDRA Hops Count,SDRA Execution Time,SDRA avg CD,Sway Path BW,Sway latency,Sway PLR,Sway Hops Count,Sway Execution Time,Sway avg CD
1007,17.3358,0.0004,1,12,0.6929,1007,17.3358,0.0014,1,87,0.6929,1102,20.2622,0.00199936,2,270,0.6931,1007,17.3358,0.0004,1,1087,0.6931
943,22.9651,0.0017992,3,49,0.692901,1073,90.1735,0.00658299,5,162,0.692901,1080,22.9651,0.00199932,3,346,0.6931,943,22.9651,0.00379544,3,1328,0.6931
956,54.2579,0.0030973,3,13,0.692902,1001,55.0551,0.00489202,3,43,0.692902,873,58.0835,0.00309685,5,5398,0.693102,1001,55.0551,0.00489202,3,1848,0.693101
956,71.8171,0.00359575,4,13,0.692903,946,73.8443,0.00459281,4,115,0.692904,873,75.6427,0.0035953,6,19727,0.693103,946,73.8443,0.00459281,4,1701,0.693101
860,108.516,0.00628453,6,16,0.692903,737,110.11,0.0086689,6,187,0.692905,0,0,0,0,0,0.693104,836,81.0486,0.00896506,8,2021,0.693102
849,8.7796,0.0066,1,13,0.692905,965,36.9222,0.00119965,2,26,0.692906,849,8.7796,0.0016,1,154,0.693104,849,8.7796,0.0016,1,1112,0.693103
965,37.4959,0.0008998,2,11,0.692905,965,37.4959,0.0008998,2,43,0.692907,926,40.5243,0.00489162,4,1414,0.693105,965,37.4959,0.0008998,2,1531,0.693104
965,40.1988,0.00269818,3,15,0.692906,965,74.418,0.00319661,4,141,0.692907,926,43.2273,0.00668281,5,4461,0.693108,965,44.5885,0.00369584,3,2186,0.693104
849,26.3388,0.00349608,3,11,0.692907,965,110.766,0.00369473,6,193,0.692908,849,26.3388,0.00349608,3,298,0.69311,849,26.3388,0.00349608,3,2143,0.693105
764,13.9558,0.00667511,7,15,0.692908,768,128.899,0.00668199,7,234,0.692909,910,63.4894,0.0069801,7,188858,0.693112,836,63.4894,0.00827747,7,2304,0.693107
965,45.6047,0.0051899,5,19,0.692909,958,130.703,0.0091652,7,208,0.692912,926,48.6332,0.00916457,7,74287,0.693113,737,58.7739,0.0056876,5,2297,0.693108
965,62.9405,0.0095918,6,23,0.69291,958,112.57,0.00698115,6,176,0.692915,926,68.8953,0.011937,9,6911876,0.693114,965,62.9405,0.0045918,6,2476,0.69311
956,72.3908,0.00459261,4,13,0.692912,956,73.1879,0.00289725,4,111,0.692915,926,78.3457,0.00886715,7,187851,0.693116,815,83.0856,0.00906669,7,2105,0.693112
788,53.2513,0.00289724,3,12,0.692913,958,54.4814,0.00429414,3,89,0.692916,1080,55.3806,0.00329622,4,725,0.693117,958,54.4814,0.00429414,3,1308,0.693114
768,2.70296,0.0012,1,9,0.692915,1073,35.6921,0.00159961,2,85,0.692916,768,2.70296,0.0012,1,119,0.693117,768,2.70296,0.0012,1,1487,0.693115
